RouteID,Mon(6-9),Mon(9-12),Mon(12-3),Mon(2-6),Mon(6-9).1,Tue(6-9),Tue(9-12),Tue(12-3),Tue(2-6),Tue(6-9).1,Wed(6-9),Wed(9-12),Wed(12-3),Wed(2-6),Wed(6-9).1,Thu(6-9),Thu(9-12),Thu(12-3),Thu(2-6),Thu(6-9).1,Fri(6-9),Fri(9-12),Fri(12-3),Fri(2-6),Fri(6-9).1,Sat(6-9),Distance,City 1,City 2,Bus Stop,Train Station,Micro Mobility,Average_Travel_Time,Predicted_Travel_Time
RT001,40,60,30,25,45,55,38,28,23,43,58,37,29,24,47,62,41,32,26,46,64,42,33,27,49,65,5,Connaught Place,Karol Bagh,1,0,0,41.1153846153846,46.38962936401367
RT002,65,42,35,30,50,58,39,32,28,47,62,40,33,26,49,68,45,37,29,51,66,43,34,28,53,70,6,Lajpat Nagar,Greater Kailash,1,0,0,44.6153846153846,43.079986572265625
RT003,62,43,34,29,48,56,37,30,26,44,60,38,31,25,46,65,44,35,28,49,63,42,34,27,52,68,7,Vasant Kunj,Chhatarpur,1,0,0,42.9230769230769,43.42918014526367
RT004,68,45,36,32,54,60,41,34,30,47,63,42,33,28,50,66,45,37,31,52,64,43,35,29,55,71,8,Dwarka,Janakpuri,1,0,0,45.8076923076923,45.79343032836914
RT005,70,47,38,33,56,63,42,36,31,48,65,43,34,29,52,69,46,38,32,54,67,44,36,30,57,72,5,Saket,Hauz Khas,1,1,0,47.3846153846154,46.50374984741211
RT006,64,41,32,27,50,59,38,31,27,46,61,40,32,28,49,67,45,35,29,51,64,43,35,29,54,69,6,Rohini,Pitampura,1,0,0,44.0769230769231,44.43590545654297
RT007,67,43,33,28,52,61,40,33,29,48,63,41,34,27,51,66,45,36,30,53,65,44,36,31,55,71,7,Lodhi Colony,Defence Colony,1,0,0,45.4615384615385,45.34614562988281
RT008,66,44,35,30,54,62,41,32,28,47,62,40,32,27,50,68,46,37,31,52,67,43,34,29,56,73,5,New Friends Colony,Jamia Nagar,1,0,0,45.6153846153846,43.5666618347168
RT009,69,46,37,31,53,64,42,35,30,49,63,41,33,28,52,67,46,38,32,54,68,45,37,30,58,74,8,Rajouri Garden,Tilak Nagar,1,0,0,47.0,45.59525680541992
RT010,63,40,31,27,51,59,38,31,26,45,62,39,32,27,48,65,44,34,28,49,64,43,33,28,53,70,9,Noida,Greater Noida,1,1,0,43.4615384615385,43.42095565795898
RT011,61,38,30,26,48,57,36,30,25,43,60,37,29,24,46,64,43,35,28,48,62,41,32,26,51,68,6,Gurgaon,Dwarka,1,0,0,41.8461538461539,46.73930358886719
RT012,65,41,33,28,50,61,39,32,27,44,63,41,32,27,48,68,45,37,30,52,66,44,34,29,53,71,7,Faridabad,Badarpur,1,0,0,44.6153846153846,46.2168706882374
RT013,68,44,35,30,52,63,42,34,29,46,64,43,34,28,50,67,46,38,32,54,67,45,36,30,56,73,6,Ghaziabad,Vasundhara,1,0,0,46.3846153846154,45.7437525925183
RT014,70,47,38,33,55,64,43,36,31,48,65,43,35,29,52,69,46,39,31,56,69,46,37,32,58,75,7,Malviya Nagar,Mehrauli,1,0,0,47.9615384615385,47.9386853922652
RT015,64,41,32,28,51,60,40,32,28,47,62,40,31,27,49,66,45,37,31,52,64,43,34,29,54,71,8,Punjabi Bagh,Paschim Vihar,1,0,0,44.5384615384615,44.5384615384615
RT016,62,39,30,25,50,58,38,30,26,45,61,39,30,27,47,65,43,35,30,51,64,42,34,27,53,70,5,Preet Vihar,Laxmi Nagar,1,0,0,43.1153846153846,43.1153846153846
RT017,68,44,35,30,53,61,42,34,29,48,64,41,32,28,51,67,45,36,31,54,67,45,36,31,57,74,7,Karol Bagh,Paharganj,1,1,0,46.2692307692308,45.9680056311032
RT018,65,43,34,29,51,60,39,32,28,46,63,42,34,28,50,68,44,35,30,53,67,44,36,31,55,72,8,Sadar Bazaar,Chandni Chowk,1,0,0,45.3461538461539,46.0543684592662
RT019,66,44,35,31,52,62,40,34,29,45,63,40,33,27,51,68,45,37,32,54,68,45,36,32,57,74,9,Ashok Vihar,Model Town,1,1,0,46.1538461538462,45.5849208927667
RT020,67,46,37,32,53,64,42,34,30,48,65,43,34,28,52,69,46,39,31,56,68,46,38,32,58,76,5,Najafgarh,Palam,1,0,0,47.4615384615385,45.801643204656
RT021,62,41,33,28,50,59,38,31,26,44,61,40,33,27,49,66,45,35,30,52,64,43,34,29,55,71,7,Mayur Vihar,Akshardham,1,0,0,44.0769230769231,44.0769230769231
RT022,68,44,35,30,52,63,42,34,29,47,64,41,34,29,51,67,46,38,32,54,68,45,37,32,58,74,8,Vikaspuri,Janakpuri,1,0,0,46.6923076923077,46.950570374891
RT023,65,43,34,28,49,61,39,32,27,46,63,40,33,28,48,66,44,35,30,51,66,45,36,31,54,73,9,Shahdara,Dilshad Garden,1,1,0,44.8846153846154,44.7656420540649
RT024,62,40,32,27,51,58,38,30,26,45,60,37,30,24,48,64,42,33,27,50,62,41,33,29,53,69,6,Uttam Nagar,Dwarka,1,0,0,42.7307692307692,42.7307692307692
RT025,67,45,36,31,53,62,41,35,29,48,64,42,34,29,50,67,46,37,30,52,66,45,36,31,57,72,7,Patel Nagar,Ramesh Nagar,1,0,1,46.3461538461539,46.3461538461539
RT026,70,47,38,33,55,64,43,36,32,49,66,43,35,30,52,69,46,39,32,56,67,45,37,30,59,76,5,Sarita Vihar,Jasola,1,0,0,48.0384615384615,46.4369754656088
RT027,64,41,32,27,50,59,39,32,28,46,61,39,31,25,47,65,44,34,29,51,64,43,34,28,54,71,6,Connaught Place,Karol Bagh,1,0,0,43.7692307692308,44.0704559073583
RT028,63,40,31,26,49,58,37,30,27,45,62,38,30,24,46,64,43,34,28,50,62,41,34,29,53,69,7,Lajpat Nagar,Greater Kailash,1,0,0,42.8076923076923,43.8853312812904
RT029,65,43,35,30,51,61,40,32,27,44,63,41,34,28,48,68,45,37,30,52,66,44,35,30,55,72,8,Vasant Kunj,Chhatarpur,1,0,0,45.2307692307692,44.1531302571712
RT030,66,44,36,31,52,62,42,34,30,47,64,43,35,29,50,67,46,39,31,54,68,45,37,31,57,74,6,Dwarka,Janakpuri,1,0,0,46.6923076923077,44.7783496022846
RT031,67,46,37,32,53,63,42,35,29,48,65,44,36,30,52,69,47,39,32,56,68,46,38,33,58,76,8,Saket,Hauz Khas,1,0,0,47.7307692307692,47.5004500396638
RT032,68,47,38,33,55,64,43,36,31,49,66,43,37,31,52,70,46,40,34,58,67,45,37,32,59,77,9,Rohini,Pitampura,1,0,0,48.3846153846154,47.342170786845
RT033,62,40,32,26,48,57,38,30,27,45,60,38,31,24,47,64,42,34,29,50,61,41,32,28,54,71,7,Lodhi Colony,Defence Colony,1,0,0,42.7307692307692,44.496000528390894
RT034,65,42,34,29,49,60,39,32,27,46,63,40,34,28,50,67,45,37,30,52,64,43,34,29,56,74,5,New Friends Colony,Jamia Nagar,1,0,1,44.9615384615385,42.7347327711429
RT035,68,45,36,30,51,63,42,35,29,47,64,41,33,29,52,69,47,38,32,54,67,45,36,32,57,74,5,Rajouri Garden,Tilak Nagar,1,0,0,46.7692307692308,43.7265924978874
RT036,67,44,35,30,52,62,40,34,29,46,63,40,33,28,51,67,46,38,32,54,68,45,37,31,58,75,6,Noida,Greater Noida,1,0,0,46.3461538461539,45.921525297634304
RT037,66,43,34,29,50,61,39,32,27,45,62,41,34,29,48,66,45,35,30,51,64,43,34,28,55,73,7,Gurgaon,Dwarka,1,0,0,44.7692307692308,44.6247818692284
RT038,65,42,33,28,49,59,38,31,27,44,60,40,33,27,47,64,43,34,30,51,62,41,34,28,53,70,6,Faridabad,Badarpur,1,0,0,43.5769230769231,45.9635890464058
RT039,64,40,32,27,50,58,37,30,26,46,61,39,30,25,48,65,44,34,29,50,62,41,34,29,54,72,5,Ghaziabad,Vasundhara,1,0,0,43.3461538461539,45.260111936177
RT040,67,45,36,31,52,62,40,34,30,48,64,43,35,30,51,67,46,39,32,56,68,46,38,33,58,76,8,Malviya Nagar,Mehrauli,1,0,0,47.1923076923077,47.19230769230769
RT041,69,46,37,32,54,64,43,36,31,49,65,43,36,32,53,70,48,41,34,57,68,45,38,33,59,77,9,Punjabi Bagh,Paschim Vihar,1,0,0,48.4615384615385,46.8984486325133
